CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location of First Harmful Event,Weather Condition,Light Conditions,Traffic Control Device,Traffic Control Type,Roadway Alignment,Roadway Surface Condition,Roadway Surface type,Roadway Description,Roadway defects,Relation to Roadway,Intersection Type,Work Zone Related,Workers Present in Work Zone,Work Zone Location,Work Zone Type,School Zone,Type of Collision,Location 1
2016023559.0,06/11/2016,1531,SAT,UPPER CHELSEA RE,Yes,2.0,221.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1800 N GREATNECK RD
VIRGINIA BEACH, VA
(36.893917, -76.0582)"
2016021817.0,05/31/2016,1612,TUE,KING RICHARD DR,,3.0,321.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"3339 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.841682, -76.088374)"
2016020335.0,05/22/2016,2208,SUN,BERKNOR DR,00.50 Miles From,2.0,228.0,2,ON ROADWAY,RAIN,DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",SLICK PAVEMENT,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"1000 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.807728, -75.990703)"
2016028823.0,07/13/2016,1820,WED,FLURIDY RD,00.25 Miles From,1.0,120.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"3499 HUNGARIAN RD
VIRGINIA BEACH, VA
(36.595147, -76.120626)"
2016025457.0,06/23/2016,1122,THU,SEABOARD RD,Yes,1.0,121.0,1,ROADSIDE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,FIXED OBJECT-OFF ROAD,"3000 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.766366, -76.076179)"
2016007181.0,06/03/2016,1425,FRI,SHAMAN CI,Yes,3.0,328.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,PEDESTRIAN,"4665 WITCHDUCK RD N
VIRGINIA BEACH, VA
(36.86406, -76.13619)"
2016025008.0,06/20/2016,1824,MON,SANDPIPER,Yes,1.0,122.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"600 SANDBRIDGE RD
VIRGINIA BEACH, VA
(36.743692, -75.958075)"
2016020978.0,05/26/2016,1910,THU,400 32ND ST,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"3198 HOLLY RD
VIRGINIA BEACH, VA
(36.859618, -75.982208)"
2016024310.0,06/16/2016,1310,THU,EBB TIDE RD,Yes,2.0,220.0,2,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",SLICK PAVEMENT,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,ANGLE,"2900 SHORE DR
VIRGINIA BEACH, VA
(36.911341, -76.071576)"
2016023697.0,06/12/2016,936,SUN,3500 BOW CREEK BL,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"500 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.825377, -76.096385)"
2016021669.0,05/30/2016,1639,MON,LOUGH LA,Yes,3.0,331.0,2,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,WET,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"5566 SHORE DR
VIRGINIA BEACH, VA
(36.906133, -76.175135)"
2016027034.0,07/02/2016,1555,SAT,700 WINDWOOD DR,Yes,2.0,223.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,ANGLE,"1400 LASKIN RD
VIRGINIA BEACH, VA
(36.85198, -76.008688)"
2016029113.0,07/15/2016,2129,FRI,PRINCESS ANNE RD,Yes,1.0,124.0,2,ON ROADWAY,RAIN,DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"3699 DAM NECK RD
VIRGINIA BEACH, VA
(36.775682, -76.09095)"
2016027943.0,07/07/2016,1735,THU,BIRDNECK RD,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,ANGLE,"1100 LASKIN RD
VIRGINIA BEACH, VA
(36.854901, -75.995432)"
2016027688.0,07/06/2016,1005,WED,INDIAN RIVER RD,Yes,1.0,121.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1799 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.723701, -76.017685)"
2016026760.0,07/01/2016,17,FRI,MCCLANNAN LA,00.50 Miles From,1.0,122.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD NOT LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,OTHER,"3199 COLECHESTER RD
VIRGINIA BEACH, VA
(36.717531, -75.977025)"
2016021112.0,05/27/2016,1710,FRI,INDIAN RIVER RD,00.25 Miles From,1.0,121.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3699 NORTH LANDING RD
VIRGINIA BEACH, VA
(36.734443, -76.098865)"
2016007775.0,02/29/2016,1933,MON,1200 BAKER RD,Yes,3.0,331.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"5700 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.885299, -76.180844)"
2016027565.0,07/05/2016,1510,TUE,WHITEHORNE RD,Yes,3.0,329.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"4300 THOROUGHGOOD DR
VIRGINIA BEACH, VA
(36.894782, -76.120179)"
2016027887.0,07/07/2016,1255,THU,FORDHAM DR,Yes,4.0,422.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"5300 KEMPSRIVER DR
VIRGINIA BEACH, VA
(36.802774, -76.174556)"
2016027183.0,07/03/2016,1333,SUN,PARKWAY MARKETPLACE,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"5048 FERRELL PW
VIRGINIA BEACH, VA
(36.794954, -76.167681)"
2016022693.0,06/06/2016,657,MON,5599 BEAUFAIN BL,Yes,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,YES,REAR END,"1728 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.784094, -76.187589)"
2016020417.0,05/23/2016,1424,MON,SHIPPS CORNER RD,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,ANGLE,"3198 HOLLAND RD
VIRGINIA BEACH, VA
(36.792071, -76.080564)"
2016020947.0,05/26/2016,1624,THU,HILLTOP PLAZA SC,Yes,2.0,222.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1800 LASKIN RD
VIRGINIA BEACH, VA
(36.849841, -76.027747)"
2016024539.0,06/17/2016,1828,FRI,GRAVENHURST DR,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"2400 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.786637, -76.149752)"
2016027364.0,07/04/2016,1327,MON,CENTERVILLE TP,Yes,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1900 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.779978, -76.19254)"
2016025276.0,06/22/2016,930,WED,DAM NECK RD,Yes,1.0,125.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,ANGLE,"2105 SALEM RD
VIRGINIA BEACH, VA
(36.76768, -76.123006)"
2016026544.0,06/29/2016,1732,WED,OCEANA BL,Yes,1.0,123.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1300 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.793727, -75.995316)"
2016020901.0,05/26/2016,1144,THU,BULLOCK TL,Yes,1.0,127.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"457 LONDON BRIDGE RD
VIRGINIA BEACH, VA
(36.828481, -76.05274)"
2016027140.0,07/03/2016,255,SUN,HATTERAS RD,Yes,4.0,423.0,1,"OFF ROADWAY, LOCATION UNKNOWN",NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,THREE APPROACHES,NO,,,,NO,FIXED OBJECT-OFF ROAD,"125 CHEYENNE RD
VIRGINIA BEACH, VA
(36.8394, -76.183182)"
2016023048.0,06/08/2016,1103,WED,PLEASANT VALLEY RD,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"4800 FERRELL PW
VIRGINIA BEACH, VA
(36.796804, -76.143652)"
2016021544.0,05/29/2016,2211,SUN,300 NELMS LA,Yes,3.0,325.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"5232 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.848169, -76.162339)"
2016024862.0,06/19/2016,1940,SUN,200 5TH ST,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,PEDESTRIAN CROSSWALK,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,OTHER,"500 PACIFIC AV
VIRGINIA BEACH, VA
(36.836488, -75.973132)"
2016023179.0,06/09/2016,710,THU,CURRY COMB CT,Yes,1.0,125.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"2699 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.75913, -76.066053)"
2016023919.0,06/13/2016,1843,MON,BONNEYDALE RD,Yes,4.0,422.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1299 ACREDALE RD
VIRGINIA BEACH, VA
(36.800201, -76.171503)"
2016020655.0,05/24/2016,2106,TUE,SANDBRIDGE RD,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"2293 UPTON DR
VIRGINIA BEACH, VA
(36.752611, -76.009332)"
2016027596.0,07/05/2016,1643,TUE,TUNA LA,Yes,1.0,122.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"2799 SANDPIPER RD
VIRGINIA BEACH, VA
(36.733617, -75.940609)"
2016021994.0,06/01/2016,1724,WED,301 FIRST COLONIAL,Yes,2.0,224.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1701 VIRGINIA BEACH BLVD
VIRGINIA BEACH, VA
(36.842408, -76.021232)"
2016027197.0,07/03/2016,1512,SUN,601 OXFORD CI,Yes,3.0,321.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,YIELD SIGN,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,TWO APPROACHES,NO,,,,NO,REAR END,"643 LITTLE NECK RD
VIRGINIA BEACH, VA
(36.855096, -76.090619)"
2016028465.0,07/11/2016,736,MON,2100 INDEPENDENCE BL,Yes,1.0,125.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3969 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.789088, -76.112736)"
2016022907.0,06/07/2016,1320,TUE,OCEANA BL,Yes,1.0,123.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,YIELD SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"1300 TOMCAT CT S
VIRGINIA BEACH, VA
(36.796868, -76.014525)"
2016022312.0,06/03/2016,1758,FRI,MCCCOMAS WY,Yes,1.0,124.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,TWO APPROACHES,NO,,,,NO,OTHER,"1400 NIMMO PW
VIRGINIA BEACH, VA
(36.763451, -76.02002)"
2016025471.0,06/23/2016,1230,THU,19TH ST,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1800 PACIFIC AV
VIRGINIA BEACH, VA
(36.846502, -75.975955)"
2016022373.0,06/04/2016,206,SAT,BIRDNECK RD N,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1101 LASKIN RD
VIRGINIA BEACH, VA
(36.854362, -75.995398)"
2016026230.0,06/27/2016,2057,MON,LONDON BRIDGE RD,Yes,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DUSK,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,,,,,,,,"1689 DRAKESMILE RD
VIRGINIA BEACH, VA
(36.788295, -76.06813)"
2016026867.0,07/01/2016,1745,FRI,2200 VISTA CI,Yes,2.0,220.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"3300 SHORE DR
VIRGINIA BEACH, VA
(36.907544, -76.086431)"
2016026210.0,06/27/2016,1705,MON,SALEM CROSSING,Yes,4.0,426.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"2000 LYNNHAVEN
VIRGINIA BEACH, VA
(36.793076, -76.119071)"
2016020971.0,05/26/2016,1825,THU,INDEPENDENCE BL S,Yes,4.0,428.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1698 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.794304, -76.10466)"
2016026640.0,06/30/2016,855,THU,PEMBROKE BL,Yes,3.0,328.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"700 INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.861813, -76.132232)"
2016024928.0,06/20/2016,935,MON,DAM NECK RD,Yes,1.0,123.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1600 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.786013, -75.999206)"
